i,id
1,ANIMAL
2,ANIMAL.CAT
3,ANIMAL.CAT.FEMALE
4,ANIMAL.CAT.FEMALE.DOMESTIC
5,ANIMAL.CAT.FEMALE.DOMESTIC.KITTN
6,ANIMAL.CAT.FEMALE.DOMESTIC.KITTN.BROWN
7,ANIMAL.CAT.FEMALE.DOMESTIC.KITTN.BROWN.PEARL:PEARL\CAT\DOMESTIC\BROWN\FEMALE\KITTN\43529\K19-032349\CA03\A387384\05/25/2019\05/29/2019\4\STRAY\OVER_THE_COUNTER\TRANSFER\HSSC\TREATABLE/REHAB\TREATABLE/REHAB\COUNTY\COUNTY\95407\95407\1
8,ANIMAL.CAT.MALE
9,ANIMAL.CAT.MALE.DOMESTIC
10,ANIMAL.CAT.MALE.DOMESTIC.SMALL
11,ANIMAL.CAT.MALE.DOMESTIC.SMALL.BROWN
12,ANIMAL.CAT.MALE.DOMESTIC.SMALL.BROWN.ELLIOTT:ELLIOTT\CAT\DOMESTIC\BROWN\MALE\SMALL\05/31/2005\K19-032383\VET\A387892\05/31/2019\05/31/2019\0\STRAY\FIELD\EUTHANIZE\\UNKNOWN\DEAD\SANTA_ROSA\SANTA_ROSA\95404\95404\1
13,ANIMAL.CAT.NEUTERED
14,ANIMAL.CAT.NEUTERED.DOMESTIC
15,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN
16,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.BLACK
17,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.BLACK.BANDIT:BANDIT\CAT\DOMESTIC\BLACK\NEUTERED\KITTN\43103\K18-028296\LOBBY\A369141\05/17/2018\05/19/2018\2\ADOPTION_RETURN\OVER_THE_COUNTER\ADOPTION\SCAS_WEB\HEALTHY\HEALTHY\COUNTY\COUNTY\95472\95472\1
18,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.BLACK.BEAR:BEAR\CAT\DOMESTIC\BLACK\NEUTERED\KITTN\42832\K17-024922\MOBILE\A357199\08/18/2017\09/17/2017\30\STRAY\OVER_THE_COUNTER\ADOPTION\MOB_EVENT\UNKNOWN\HEALTHY\COUNTY\OUT_OF_COUNTY\94964\94964\1
19,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.BLACK.CHARLIE:CHARLIE\CAT\DOMESTIC\BLACK\NEUTERED\KITTN\03/28/2015\K15-013726\LOBBY\A321137\04/28/2015\05/29/2015\31\STRAY\COMM_CAT\ADOPTION\WALKIN\HEALTHY\HEALTHY\COUNTY\COUNTY\95436\95436\1
20,ANIMAL.CAT.NEUTERED.DOMESTIC.KITTN.BLACK.INSPECTOR_CLOUSEAU:INSPECTOR_CLOUSEAU\CAT\DOMESTIC\BLACK\NEUTERED\KITTN\08/18/2017\K17-025914\LOBBY\A362716\10/18/2017\43050\24\STRAY\OVER_THE_COUNTER\ADOPTION\WALKIN\TREATABLE/REHAB\HEALTHY\SANTA_ROSA\COUNTY\95407\95407\1
